Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
YD_link,-0.006104490009346,-0.000139976283087841,0.146761750749081,0,0,0,38.930118624003,0.649460511716678,0.000256378042559233,-0.00429274071435382,1.01895408462965,-0.000153084602770739,1.50212471326014,0,0,0,0,0,0,package://S2_3DURDF/meshes/YD_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YD_link.STL,,车体组件折叠腿3D雷达-1,YD_X,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ZQ_Link,-0.000669849024662356,-0.0241900958801283,-0.0616279252969584,0,0,0,0.649768494632578,0.000761481547696119,-1.72452672020022E-08,-3.52499110599884E-07,0.000581308053771228,-0.00023758286257861,0.000522214839293274,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZQ_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZQ_Link.STL,,旋转轮毂支架-1,ZQ_X,ZQ_Z,ZQ,revolute,0.230716346596797,0.217383969202378,0.206001065890306,0,0,0,YD_link,0,0,-1,0,0,0,0,,,,,,,,
ZQL_Link,-2.43385047501987E-06,2.85293641398218E-06,0.000784616731355048,0,0,0,1.22318935129683,0.00205173298603424,1.23996587648269E-08,-7.29923794119799E-08,0.00205205386199053,2.47096862236257E-07,0.00376745025787708,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZQL_Link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZQL_Link.STL,,043277-10530LF1543F30-S-V1.1-2,ZQL_X,ZQL_Z,ZQL,revolute,-0.000716531973645879,0.000616030797616018,-0.136,1.5707963267949,0,0,ZQ_Link,0,0,1,0,0,0,0,,,,,,,,
YQ_Link,0.000669849049322518,0.0241900958694156,-0.0616279252844177,0,0,0,0.649768495169821,0.000761481548717099,-1.72448427901843E-08,3.52498509199466E-07,0.000581308054731555,0.000237582863092776,0.000522214839929936,0,0,0,0,0,0,package://S2_3DURDF/meshes/YQ_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YQ_Link.STL,,旋转轮毂支架-2,YQ_X,YQ_Z,YQ,revolute,0.229283282649505,-0.217383969202368,0.206001065890306,0,0,0,YD_link,0,0,-1,0,0,0,0,,,,,,,,
YQL_Link,-2.43385047507538E-06,2.85293641397871E-06,0.000784616731355076,0,0,0,1.22318935129683,0.00205173298603424,1.23996587645464E-08,-7.29923794119505E-08,0.00205205386199052,2.47096862236199E-07,0.00376745025787708,0,0,0,0,0,0,package://S2_3DURDF/meshes/YQL_Link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YQL_Link.STL,,043277-10530LF1543F30-S-V1.1-3,YQL_X,YQL_Z,YQL,revolute,0.000716531973642104,-0.000616030797637807,-0.136,1.5707963267949,0,3.14159265358979,YQ_Link,0,0,1,0,0,0,0,,,,,,,,
ZH_Link,-0.000669849045256993,-0.0241900958775424,-0.0616279253012201,0,0,0,0.649768494706224,0.00076148154766139,-1.72448845621259E-08,-3.52498307760211E-07,0.00058130805381506,-0.000237582862545483,0.000522214839524879,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZH_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZH_Link.STL,,旋转轮毂支架-3,ZH_X,ZH_Z,ZH,revolute,-0.229283653403539,0.217383969202643,0.205998934109481,0,0,0,YD_link,0,0,-1,0,0,0,0,,,,,,,,
ZHL_Link,-1.6476431373702E-06,3.36870022212346E-06,0.000784616724228304,0,0,0,1.22318935090664,0.00205175881761639,8.81772768616999E-08,-9.22976094222691E-09,0.00205202803029153,2.57487024478648E-07,0.00376745025781125,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZHL_Link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZHL_Link.STL,,043277-10530LF1543F30-S-V1.1-4,ZHL_X,ZHL_Z,ZHL,revolute,-0.000716531973645962,0.000616030797351341,-0.136,1.5707963267949,0,0,ZH_Link,0,0,1,0,0,0,0,,,,,,,,
YH_Link,0.000669849045784127,0.0241900958649381,-0.0616279252769062,0,0,0,0.649768495216374,0.000761481548862858,-1.72448930629897E-08,3.5249857105537E-07,0.000581308054864781,0.000237582863164277,0.000522214840034649,0,0,0,0,0,0,package://S2_3DURDF/meshes/YH_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YH_Link.STL,,旋转轮毂支架-4,YH_X,YH_Z,YH,revolute,-0.230716717350835,-0.217383969202644,0.205998934109481,0,0,0,YD_link,0,0,-1,0,0,0,0,,,,,,,,
YHL_Link,-2.43385027215437E-06,2.85293597436856E-06,0.000784616731718007,0,0,0,1.22318935128293,0.00205173298601214,1.23996485504299E-08,-7.29923789444277E-08,0.0020520538619858,2.47096861207294E-07,0.00376745025785033,0,0,0,0,0,0,package://S2_3DURDF/meshes/YHL_Link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YHL_Link.STL,,043277-10530LF1543F30-S-V1.1-1,YHL_X,YHL_Z,YHL,revolute,0.000716531973645823,-0.000616030797635114,-0.136,1.5707963267949,0,3.14159265358974,YH_Link,0,0,1,0,0,0,0,,,,,,,,
ZLD_Link,-0.0440891839567841,-5.18732778953535E-10,-0.0315237882031307,0,0,0,0.0117156542424497,3.67951096550954E-07,5.15239036815806E-14,-7.72651115285905E-09,6.52014762336772E-07,2.14985023980089E-14,5.88939528438811E-07,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZLD_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/ZLD_Link.STL,,mid-360S-4,ZLD_X,ZLD_Z,ZLD,fixed,0.22096927261792,0.200700000000007,0.36602361226325,0.132203058768704,-0.191464666368192,2.60757405214859,YD_link,0,0,0,,,,,,,,,,,,
YLD_Link,-0.0440891839567841,-5.1873280670911E-10,-0.0315237882031307,0,0,0,0.0117156542424497,3.67951096550954E-07,5.15239039992179E-14,-7.72651115285907E-09,6.52014762336772E-07,2.14985023980089E-14,5.88939528438811E-07,0,0,0,0,0,0,package://S2_3DURDF/meshes/YLD_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YLD_Link.STL,,mid-360S-3,YLD_X,YLD_Z,YLD,fixed,-0.220969643372291,-0.200700000000007,0.36602361226325,0.132203058768706,-0.191464666368192,-0.534018601441201,YD_link,0,0,0,,,,,,,,,,,,
C1_Link,-2.74186972154533E-07,3.76258544670938E-06,-0.0124017714951685,0,0,0,0.0197882058693556,1.87646922824388E-06,2.82289220254591E-12,-7.43816524603546E-12,4.35926489796655E-06,1.0192132041073E-10,4.9604504129464E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C1_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C1_Link.STL,,F40-16TR1B2-3,C1_X,C1_Z,C1,fixed,-0.173908647658815,-0.272499999982074,0.22895919988391,1.5707963267949,0,0,YD_link,0,0,0,,,,,,,,,,,,
